"ActualValue","Commandlet","Control","Criticality","ReportDetails","Requirement","RequirementMet"
"false","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement not met","All safety tips SHALL be enabled: user impersonation unusual characters default policy","False"
"true","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement met","All safety tips SHALL be enabled: ""?"" for unauthenticated senders for spoof default policy","True"
"true","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement met","All safety tips SHALL be enabled: ""via"" tag default policy","True"
"true","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","Zero-hour auto purge (ZAP) SHALL be enabled for phishing: default policy","True"
"true","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","Zero-hour auto purge (ZAP) SHALL be enabled for spam messages: default policy","True"
"true","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","Zero-hour auto purge (ZAP) SHALL be enabled: default policy","True"
"true","Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Spam safety tips SHOULD be turned on: default policy","True"
"7","Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement not met","The bulk complaint level (BCL) threshold SHOULD be set to six or lower: default policy","False"
"15","Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement not met","Spam in quarantine SHOULD be retained for at least 30 days: default policy","False"
"""MoveToJmf""","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement not met","Mail classified as spoofed SHALL be quarantined: default policy","False"
"""MoveToJmf""","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","High confidence spam SHALL be moved to either the junk email folder or the quarantine folder: default policy","True"
"""MoveToJmf""","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","Spam SHALL be moved to either the junk email folder or the quarantine folder: default policy","True"
"""MoveToJmf""","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement not met","Phishing SHALL be quarantined: default policy","False"
"""MoveToJmf""","Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Bulk email SHOULD be moved to either the junk email folder or the quarantine folder: default policy","True"
"""NoAction""","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement not met","Message action SHALL be set to quarantine if the message is detected as impersonated: domains default policy","False"
"""NoAction""","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement not met","Message action SHALL be set to quarantine if the message is detected as impersonated: mailbox default policy","False"
"""NoAction""","Get-AntiPhishPolicy","Defender 2.5","Shall","Requirement not met","Message action SHALL be set to quarantine if the message is detected as impersonated: users default policy","False"
"""Quarantine""","Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","High confidence phishing SHALL be quarantined: default policy","True"
,"","Defender 2.10","Shall/Not-Implemented","Currently cannot be checked automatically. See Defender Secure Configuration Baseline policy 2.10 for instructions on manual check","Advanced audit SHALL be enabled","False"
,"","Defender 2.10","Shall/Not-Implemented","Currently cannot be checked automatically. See Defender Secure Configuration Baseline policy 2.10 for instructions on manual check","Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31","False"
,"","Defender 2.2","Should/Not-Implemented","Currently cannot be checked automatically. See Defender Secure Configuration Baseline policy 2.2 for instructions on manual check","A list of apps that are not allowed to access files protected by DLP policy SHOULD be defined","False"
,"","Defender 2.2","Should/Not-Implemented","Currently cannot be checked automatically. See Defender Secure Configuration Baseline policy 2.2 for instructions on manual check","A list of browsers that are not allowed to access files protected by DLP policy SHOULD be defined","False"
,"","Defender 2.9","Should/Not-Implemented","Currently cannot be checked automatically. See Defender Secure Configuration Baseline policy 2.9 for instructions on manual check","The alerts SHOULD be sent to a monitored address or incorporated into a SIEM","False"
,"Get-AntiPhishPolicy","Defender 2.5","Should","No users are included for targeted user protection.","User impersonation protection SHOULD be enabled for key agency leaders","False"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: ""?"" for unauthenticated senders for spoof non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: ""via"" tag non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: domain impersonation non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: first contact non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: user impersonation non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","All safety tips SHOULD be enabled: user impersonation unusual characters non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","Mail classified as spoofed SHOULD be quarantined: non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","Message action SHOULD be set to quarantine if the message is detected as impersonated: domains non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","Message action SHOULD be set to quarantine if the message is detected as impersonated: mailbox non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement met","Message action SHOULD be set to quarantine if the message is detected as impersonated: users non-default policies","True"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement not met","Domain impersonation protection SHOULD be enabled for domains owned by the agency","False"
,"Get-AntiPhishPolicy","Defender 2.5","Should","Requirement not met","Intelligence for impersonation protection SHALL be enabled","False"
,"Get-AntiPhishPolicy","Defender 2.5","Should","The Custom Domains protection policies: Enabled, EnableTargetedDomainsProtection, and TargetedDomainsToProtect are not set correctly","Domain impersonation protection SHOULD be added for frequent partners","False"
,"Get-DLPCompliancePolicy","Defender 2.2","Should","No policy found that applies to OneDrive.","The custom policy SHOULD be applied in OneDrive","False"
,"Get-DlpComplianceRule","Defender 2.2","Shall","No matching rule found for U.S. Individual Taxpayer Identification Number (ITIN)","A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency: U.S. Individual Taxpayer Identification Number (ITIN)","False"
,"Get-DlpComplianceRule","Defender 2.2","Shall","No matching rule found for U.S. Social Security Number (SSN)","A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency: U.S. Social Security Number (SSN)","False"
,"Get-EOPProtectionPolicyRule","Defender 2.1","Should","Requirement met","Standard Preset security profiles SHOULD NOT be used","True"
,"Get-EOPProtectionPolicyRule","Defender 2.1","Should","Requirement met","Strict Preset security profiles SHOULD NOT be used","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Shall","Requirement met","Allowed senders MAY be added but allowed domains SHALL NOT be added: default policy","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Allowed senders MAY be added but allowed domains SHOULD NOT be added: non-default","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Bulk email SHOULD be moved to either the junk email folder or the quarantine folder: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","High confidence phishing SHOULD be quarantined: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","High confidence spam SHOULD be moved to either the junk email folder or the quarantine folder: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Phishing SHOULD be quarantined: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Spam SHOULD be moved to either the junk email folder or the quarantine folder: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Spam in quarantine SHOULD be retained for at least 30 days: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Spam safety tips SHOULD be turned on: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","The bulk complaint level (BCL) threshold SHOULD be set to six or lower: non-default policies","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Zero-hour auto purge (ZAP) SHOULD be enabled for Spam: non-default","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Zero-hour auto purge (ZAP) SHOULD be enabled for phishing: non-default","True"
,"Get-HostedContentFilterPolicy","Defender 2.6","Should","Requirement met","Zero-hour auto purge (ZAP) SHOULD be enabled: non-default","True"
,"Get-MalwareFilterPolicy","Defender 2.3","Should","No malware policies found that block .cmd files.","Disallowed file types SHALL be determined and set. At a minimum, click-to-run files SHOULD be blocked: cmd files","False"
,"Get-MalwareFilterPolicy","Defender 2.3","Should","No malware policies found that block .exe files.","Disallowed file types SHALL be determined and set. At a minimum, click-to-run files SHOULD be blocked: exe files","False"
,"Get-MalwareFilterPolicy","Defender 2.3","Should","No malware policies found that block .vbe files.","Disallowed file types SHALL be determined and set. At a minimum, click-to-run files SHOULD be blocked: vbe files","False"
,"Get-MalwareFilterPolicy","Defender 2.4","Should","Requirement met","Zero-hour Auto Purge (ZAP) for malware SHOULD be enabled in the default anti-malware policy and in all existing custom policies","True"
,"Get-SafeAttachmentPolicy, Get-SafeAttachmentRule, Get-AcceptedDomain","Defender 2.8","Shall","No enabled policy found with action set to block that apply to all domains","The action for malware in email attachments SHALL be set to block","False"
,"Get-SafeAttachmentPolicy, Get-SafeAttachmentRule, Get-AcceptedDomain","Defender 2.8","Should","No enabled policy found with action set to block and at least one contact specified","Redirect emails with detected attachments to an agency-specified email SHOULD be enabled","False"
,"Get-SafeAttachmentRule, Get-AcceptedDomain","Defender 2.8","Shall","No policy found that applies to all domains: tqhjy.onmicrosoft.com","At least one Safe Attachments Policy SHALL include all agency domains-and by extension-all users","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","Internal agency email messages SHALL have safe links enabled","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","Malicious link click checking SHALL be enabled with Microsoft Teams","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","Real-time suspicious URL and file-link scanning SHALL be enabled","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","Safe Links in Office 365 apps SHALL be turned on","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","URL rewriting and malicious link click checking SHALL be enabled","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","URLs SHALL be scanned completely before message delivery","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","User click tracking SHALL be enabled","False"
,"Get-SafeLinksPolicy, Get-SafeLinksRule","Defender 2.7","Shall","Requirement not met","Users SHALL NOT be enabled to click through to the original URL","False"
,"Get-SafeLinksRule, Get-AcceptedDomain","Defender 2.7","Shall","No policy found that applies to all domains: tqhjy.onmicrosoft.com","The Safe Links Policy SHALL include all agency domains-and by extension-all users","False"
"""Default""","Get-MalwareFilterPolicy","Defender 2.3","Shall","1 malware policy(ies) found that do(es) not have the common attachments filter enabled: Default","The common attachments filter SHALL be enabled in the default anti-malware policy and in all existing policies","False"
"""Default Teams DLP policy rule""","Get-DlpComplianceRule","Defender 2.2","Should","1 rule(s) found that do(es) not notify at least one user: Default Teams DLP policy rule","Notifications to inform users and help educate them on the proper use of sensitive information SHOULD be enabled","False"
"[""Default Teams DLP policy rule"",""Items containing 1-9 credit card numbers shared externally"",""Items with 10 or more credit card numbers shared externally""]","Get-DlpComplianceRule","Defender 2.2","Shall","Requirement met","A custom policy SHALL be configured to protect PII and sensitive information, as defined by the agency: Credit Card Number","True"
"[""Default Teams DLP policy rule"",""Items containing 1-9 credit card numbers shared externally"",""Items with 10 or more credit card numbers shared externally""]","Get-DlpComplianceRule","Defender 2.2","Should","3 rule(s) found that do(es) not block access or associated policy not set to enforce block action: Default Teams DLP policy rule, Items containing 1-9 credit card numbers shared externally, Items with 10 or more credit card numbers shared externally","The action for the DLP policy SHOULD be set to block sharing sensitive information with everyone when DLP conditions are met","False"
"[""Malware campaign detected after delivery"",""Unusual increase in email reported as phish""]","Get-ProtectionAlert","Defender 2.9","Shall","2 disabled required alert(s) found: Malware campaign detected after delivery, Unusual increase in email reported as phish","At a minimum, the alerts required by the Exchange Online Minimum Viable Secure Configuration Baseline SHALL be enabled","False"
"{""EnableATPForSPOTeamsODB"":true,""Identity"":""Default""}","Get-AtpPolicyForO365","Defender 2.8","Should","Requirement met","Safe attachments SHOULD be enabled for SharePoint, OneDrive, and Microsoft Teams","True"
"{""Identity"":""Admin Audit Log Settings"",""UnifiedAuditLogIngestionEnabled"":true}","Get-AdminAuditLogConfig","Defender 2.10","Shall","Requirement met","Unified audit logging SHALL be enabled","True"
"{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness""}","Get-DLPCompliancePolicy","Defender 2.2","Should","Requirement met","The custom policy SHOULD be applied in Exchange","True"
"{""Locations"":[""All""],""Name"":""Default Office 365 DLP policy"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness""}","Get-DLPCompliancePolicy","Defender 2.2","Should","Requirement met","The custom policy SHOULD be applied in SharePoint","True"
"{""Locations"":[""All""],""Name"":""Default policy for Teams"",""Workload"":""Exchange, SharePoint, OneDriveForBusiness, Teams""}","Get-DLPCompliancePolicy","Defender 2.2","Should","Requirement met","The custom policy SHOULD be applied in Teams","True"
,"","EXO 2.10","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Emails SHALL be scanned for malware","False"
,"","EXO 2.10","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Emails identified as containing malware SHALL be quarantined or dropped","False"
,"","EXO 2.10","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Email scanning SHOULD be capable of reviewing emails after delivery","False"
,"","EXO 2.11","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Impersonation protection checks SHOULD be used","False"
,"","EXO 2.11","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","The phishing protection solution SHOULD include an AI-based phishing detection tool comparable to EOP Mailbox Intelligence","False"
,"","EXO 2.11","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","User warnings, comparable to the user safety tips included with EOP, SHOULD be displayed","False"
,"","EXO 2.14","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","A spam filter SHALL be enabled. The filtering solution selected SHOULD offer services comparable to the native spam filtering offered by Microsoft","False"
,"","EXO 2.14","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Allowed senders MAY be added, but allowed domains SHALL NOT be added","False"
,"","EXO 2.14","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Spam and high confidence spam SHALL be moved to either the junk email folder or the quarantine folder","False"
,"","EXO 2.15","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Direct download links SHOULD be scanned for malware","False"
,"","EXO 2.15","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","URL comparison with a block-list SHOULD be enabled","False"
,"","EXO 2.15","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","User click tracking SHOULD be enabled","False"
,"","EXO 2.16","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","At a minimum, the following alerts SHALL be enabled...[see Exchange Online secure baseline for list]","False"
,"","EXO 2.16","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","The alerts SHOULD be sent to a monitored address or incorporated into a SIEM","False"
,"","EXO 2.17","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Advanced audit SHALL be enabled","False"
,"","EXO 2.17","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Audit logs SHALL be maintained for at least the minimum duration dictated by OMB M-21-31","False"
,"","EXO 2.17","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Unified audit logging SHALL be enabled","False"
,"","EXO 2.2","Shall/Not-Implemented","Currently cannot be checked automatically. See Exchange Online Secure Configuration Baseline policy 2.# for instructions on manual check","A list of approved IP addresses for sending mail SHALL be maintained","False"
,"","EXO 2.8","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","A DLP solution SHALL be used. The selected DLP solution SHOULD offer services comparable to the native DLP solution offered by Microsoft","False"
,"","EXO 2.8","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","The DLP solution SHALL protect PII and sensitive information, as defined by the agency. At a minimum, the sharing of credit card numbers, Taxpayer Identification Numbers (TIN), and Social Security Numbers (SSN) via email SHALL be restricted","False"
,"","EXO 2.9","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Disallowed file types SHALL be determined and set. At a minimum, click-to-run files SHOULD be blocked (e.g., .exe, .cmd, and .vbe)","False"
,"","EXO 2.9","Shall/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","Emails SHALL be filtered by the file types of included attachments. The selected filtering solution SHOULD offer services comparable to Microsoft Defender's Common Attachment Filter","False"
,"","EXO 2.9","Should/3rd Party","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of this script. Otherwise, use a 3rd party tool OR manually check","The attachment filter SHOULD attempt to determine the true file type and assess the file extension","False"
,"Get-TransportRule","EXO 2.7","Shall","No transport rule found that applies warnings to emails received from outside the organization","External sender warnings SHALL be implemented","False"
